geo,pps_per_inhabitant_million_euros,available_hospital_beds_per_100k,real_labour_productivity_per_person_employed_2019_base_year,railway_km_per_square_km,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,percentage_individuals_regularly_using_internet,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_percentage
AT32,47000.0,869.23,104.2,,389.53,78.9,1506.0,2666.86,86.48,49.2663882331578,1.0653520643082748,12045.52,29700.0,77.2,0.3151575787893947,1.58,0.14400000000000002,82.76666666666667,7.9
AT33,42100.0,665.33,101.1,,430.74,60.4,91.0,2200.7400000000002,88.24,48.74624138978198,1.046640183627431,15835.85,29100.0,76.5,0.288855572213893,1.46,0.163,82.96666666666665,8.6
AT33,42100.0,665.33,101.1,,430.74,60.4,1666.0,2200.7400000000002,88.24,48.74624138978198,1.046640183627431,15835.85,29100.0,76.5,0.288855572213893,1.46,0.163,82.96666666666665,8.6
AT33,42100.0,665.33,101.1,,430.74,60.4,-5.0,2200.7400000000002,88.24,48.74624138978198,1.046640183627431,15835.85,29100.0,76.5,0.288855572213893,1.46,0.163,82.96666666666665,8.6
AT33,42100.0,665.33,101.1,,430.74,60.4,152.0,2200.7400000000002,88.24,48.74624138978198,1.046640183627431,15835.85,29100.0,76.5,0.288855572213893,1.46,0.163,82.96666666666665,8.6
AT33,42100.0,665.33,101.1,,430.74,60.4,1068.0,2200.7400000000002,88.24,48.74624138978198,1.046640183627431,15835.85,29100.0,76.5,0.288855572213893,1.46,0.163,82.96666666666665,8.6
AT34,42000.0,529.42,100.6,,188.0,156.3,310.0,2213.31,87.52,48.72925762819485,1.030152774055213,8792.0,31900.0,77.1,0.273,1.68,0.21899999999999997,83.23333333333333,10.3
AT34,42000.0,529.42,100.6,,188.0,156.3,1398.0,2213.31,87.52,48.72925762819485,1.030152774055213,8792.0,31900.0,77.1,0.273,1.68,0.21899999999999997,83.23333333333333,10.3
BE1,,,,,,,,,,,,,,,,,0.37799999999999995,,
BE10,63400.0,706.21,101.2,,0.0,7526.7,6641.0,7674.9,88.13,45.533341736509165,1.0607694915403478,21299.83,24600.0,56.9,0.4395,1.7066,0.37799999999999995,81.53333333333333,11.4
BE2,,,,,,,,,,,,,,,,,0.132,,
BE21,43400.0,547.31,100.2,,825.93,665.8,3735.0,3427.34,91.48,49.765002675173385,1.0306437748298214,36594.23,28300.0,69.3,0.37799999999999995,1.66272,0.162,82.96666666666667,10.2
BE21,43400.0,547.31,100.2,,825.93,665.8,2006.0,3427.34,91.48,49.765002675173385,1.0306437748298214,36594.23,28300.0,69.3,0.37799999999999995,1.66272,0.162,82.96666666666667,10.2
BE21,43400.0,547.31,100.2,,825.93,665.8,1530.0,3427.34,91.48,49.765002675173385,1.0306437748298214,36594.23,28300.0,69.3,0.37799999999999995,1.66272,0.162,82.96666666666667,10.2
BE22,29700.0,481.2,99.9,,360.58,367.5,1215.0,2162.39,90.78,50.49302148969232,1.0198306456634083,16667.57,26000.0,68.1,0.35150000000000003,1.49946,0.129,83.3,6.2
BE22,29700.0,481.2,99.9,,360.58,367.5,325.0,2162.39,90.78,50.49302148969232,1.0198306456634083,16667.57,26000.0,68.1,0.35150000000000003,1.49946,0.129,83.3,6.2
BE22,29700.0,481.2,99.9,,360.58,367.5,658.0,2162.39,90.78,50.49302148969232,1.0198306456634083,16667.57,26000.0,68.1,0.35150000000000003,1.49946,0.129,83.3,6.2
BE23,33500.0,598.4,98.9,,743.66,512.3,1618.0,2823.01,88.46,49.93563169087757,1.040696120488046,31176.12,30000.0,71.5,0.3925,1.5072,0.132,82.56666666666666,7.0
BE23,33500.0,598.4,98.9,,743.66,512.3,703.0,2823.01,88.46,49.93563169087757,1.040696120488046,31176.12,30000.0,71.5,0.3925,1.5072,0.132,82.56666666666666,7.0
BE23,33500.0,598.4,98.9,,743.66,512.3,412.0,2823.01,88.46,49.93563169087757,1.040696120488046,31176.12,30000.0,71.5,0.3925,1.5072,0.132,82.56666666666666,7.0
BE23,33500.0,598.4,98.9,,743.66,512.3,2109.0,2823.01,88.46,49.93563169087757,1.040696120488046,31176.12,30000.0,71.5,0.3925,1.5072,0.132,82.56666666666666,7.0
BE23,33500.0,598.4,98.9,,743.66,512.3,411.0,2823.01,88.46,49.93563169087757,1.040696120488046,31176.12,30000.0,71.5,0.3925,1.5072,0.132,82.56666666666666,7.0
BE23,33500.0,598.4,98.9,,743.66,512.3,1079.0,2823.01,88.46,49.93563169087757,1.040696120488046,31176.12,30000.0,71.5,0.3925,1.5072,0.132,82.56666666666666,7.0
BE24,39900.0,402.85,100.8,,145.73,544.7,4078.0,2774.62,93.76,49.9745821253602,1.0611290154901758,25314.58,33800.0,70.1,0.4640000000000001,1.6009,0.106,83.33333333333333,5.2
BE24,39900.0,402.85,100.8,,145.73,544.7,2559.0,2774.62,93.76,49.9745821253602,1.0611290154901758,25314.58,33800.0,70.1,0.4640000000000001,1.6009,0.106,83.33333333333333,5.2
BE25,35700.0,658.29,101.1,,897.27,380.8,954.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE25,35700.0,658.29,101.1,,897.27,380.8,102.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE25,35700.0,658.29,101.1,,897.27,380.8,-5.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE25,35700.0,658.29,101.1,,897.27,380.8,626.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE25,35700.0,658.29,101.1,,897.27,380.8,959.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE25,35700.0,658.29,101.1,,897.27,380.8,325.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE25,35700.0,658.29,101.1,,897.27,380.8,116.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE25,35700.0,658.29,101.1,,897.27,380.8,462.0,2602.44,88.85,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,8.4
BE3,,,,,,,,,,,,,,,,,0.24600000000000002,,
BE31,49600.0,235.76,119.6,,48.74,369.7,2659.0,3208.5,91.92,49.59158367933069,1.0901355883542785,8423.87,31500.0,65.2,0.518,1.55482,0.16,82.89999999999999,6.3
BE32,22800.0,610.59,99.9,,385.32,354.8,453.0,4361.39,82.5,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,6.9
BE32,22800.0,610.59,99.9,,385.32,354.8,428.0,4361.39,82.5,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,6.9
BE32,22800.0,610.59,99.9,,385.32,354.8,1010.0,4361.39,82.5,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,6.9
