"year.x","geo","regionname.x","weighted_avg_left_right","avg_GDP_per_inhabitant_million_euros","available_hospital_beds_per_100k","real_labour_productivity_per_person_employed_2019_base_year","railway_km_per_square_km","raw_milk_on_farms","pop_density_per_square_km","percentage_of_population_at_risk_poverty","net_migration_per_capita","count_of_all_crime_per_100k","percentage_individuals_regularly_using_internet","inability_to_afford_meal_with_meat_every_second_day_percent_2021","inability_to_meet_unexpected_financial_expenses_percent_2021","average_age","F.M_ratio","disposable_income_avg","gross_income_per_capita","employment_rate","proportion_with_higher_educ","total_votes","total_weighted_score"
2019,"DE25","Mittelfranken",5.5332235332913,83020.15,NA,103.9,NA,768.89,245.7,NA,6543,1324.78,NA,7.7,26.9,50.1650863971545,1.04604252270593,39793.05,31900,77.55,0.28725,655021,3624377.612
2019,"DE26","Unterfranken",5.79090004083438,55248.64,NA,102.2,NA,212.15,155.1,NA,3224,883.29,NA,10.4,29.5,51.0072657154015,1.03017702290971,28955.44,30100,78.8,0.269134567283642,528966,3063189.231
2019,"DE27","Schwaben",5.90594641527051,77913.81,NA,102,NA,1994.42,191.5,NA,4785,947.73,NA,8.9,23.4,50.3223581403346,1.02120840819815,42885.69,31400,79.85,0.2595,657581,3883638.1497
2019,"DE30","Berlin",4.27370510878236,157086.01,NA,104.7,736,1.02,4322.9,NA,15955,5004.74,NA,7.4,32.4,48.7530684370762,1.05070031970385,71150.95,26400,74.9,0.407546226886557,1261142,5389749.0083
2019,"DE40","Brandenburg",5.08053790039242,76060.67,NA,102.9,95,NA,86.7,NA,9391,1848.6,NA,12.9,31.5,53.6263431485209,1.04269818026878,49477.17,24000,78,0.272931767058235,1007855,5120445.5256
2019,"DE50","Bremen",4.45328919088719,33184.51,NA,96.9,361,27.12,1744.5,NA,3434,3917.94,NA,15.5,48.4,49.7962401656604,1.03758991909949,13544.77,26200,71.75,0.26493376655836,261039,1162482.1571
2019,"DE60","Hamburg",4.25125531663381,124832.01,NA,100.4,420,7.51,2597.5,NA,5697,4290.56,NA,7.9,29.9,48.2742620461315,1.06179014303299,42453.09,34200,76.95,0.348837209302326,697904,2966968.0905
2019,"DE71","Darmstadt",4.80229405966831,212251.01,NA,100.1,NA,196.93,542.2,NA,7902,1821.36,NA,11.5,38.3,49.9867719989606,1.0461555276717,91784.46,33700,76.3,0.3235,1411369,6777808.9647
2019,"DE72","Gießen",4.91599395811195,37393.66,NA,104.7,NA,253.55,194.9,NA,11446,1273.51,NA,12.2,32.1,50.2049460273022,1.04052083284953,21472.97,27200,73.7,0.266316579144786,382066,1878234.1476
2019,"DE73","Kassel",4.89030225856124,46126.39,NA,102.9,NA,542.5,147.5,NA,2409,1478.17,NA,16.6,40.6,51.5651489481307,1.03279768281554,25023.29,26300,76.85,0.239440139965009,461090,2254869.4684
2019,"DE80","Mecklenburg-Vorpommern",5.06145898523203,47611.41,NA,105.1,73,1486.96,71.3,NA,7320,1630.94,NA,15.1,39.3,53.3145033483124,1.04204739529277,30264.71,21600,74.9,0.246376811594203,650868,3294341.6868
2019,"DE91","Braunschweig",4.78258885259152,81784.34,NA,117.8,NA,183.13,197.3,NA,12931,1776.42,NA,13.6,41,51.3407055906574,1.03406333767734,33212.33,28000,74.35,0.271067766941735,653246,3124207.0376
2019,"DE92","Hannover",4.72988698940562,85698.76,NA,102.7,NA,612.2,239,NA,2894,2204.8,NA,12.1,36.1,51.2499930541587,1.05658106902017,43968.69,27500,75.2,0.264066016504126,901327,4263174.8505
2019,"DE93","Lüneburg",4.86850225685158,50291.11,NA,101.2,NA,2838.67,111.4,NA,3219,1751.29,NA,11.3,32.7,51.916607309767,1.0445524037576,36559.28,28500,77.65,0.223194201449638,759022,3695300.32
2019,"DE94","Weser-Ems",4.84811236700898,93155.5,NA,101.2,NA,3608.83,169.8,NA,7328,1647.67,NA,9.8,35.1,50.3901225296386,1.02868960772959,51400.34,27000,76.35,0.2115,1059658,5137341.0546
2019,"DEA1","Düsseldorf",4.82418389255446,221071.15,NA,100.5,NA,1061.79,1006.7,NA,14260,2548.52,NA,13.3,40.8,51.0000992214911,1.0713496527339,107995.6,28500,72.5,0.247561890472618,1971194,9509402.3439
2019,"DEA2","Köln",4.7386827133832,195011.51,NA,99.1,NA,656.69,613.4,NA,8584,2601.24,NA,12,34.1,49.9434003586351,1.058509917418,94356.4,29800,73.55,0.287428142964259,1842003,8728667.7741
2019,"DEA3","Münster",4.85499021566414,91275.86,NA,102.2,NA,906.14,380.1,NA,8018,2028.68,NA,11.4,35,50.5077037332522,1.05176081438372,53563.27,27100,74.75,0.237690577355661,1125871,5466092.6891
2019,"DEA4","Detmold",4.84383160948941,81205.3,NA,101,NA,478.9,316.3,NA,7759,1598.09,NA,12.4,36.5,50.6796450424642,1.04588861209277,43890.2,28300,75.95,0.222555638909727,842497,4080913.5995
2019,"DEA5","Arnsberg",4.86410274311335,128914.04,NA,100.7,NA,533.82,449.1,NA,16450,2299.9,NA,11.3,38.2,51.0397001014847,1.05261111449583,72662.83,26700,72.75,0.214803700925231,1402895,6823825.4178
2019,"DEB1","Koblenz",5.11595285119497,51814.92,NA,102,NA,270.89,186.7,NA,1928,1387.21,NA,11.4,35.9,51.7924472967599,1.04113969864614,31570.35,27800,77.5,0.245188702824294,642485,3286922.9676
2019,"DEB2","Trier",4.98492585474513,16691.83,NA,102.4,NA,474.98,108.5,NA,7291,1379.84,NA,6.3,22.5,50.6446997508483,1.02406198650967,11058.82,28400,79.6,0.272431892026993,231648,1154748.1044
2019,"DEB3","Rheinhessen-Pfalz",5.07595393506962,78547.73,NA,98.3,NA,90.92,303.2,NA,3067,1752.12,NA,9.9,35.2,50.8129026417302,1.04652436076956,44159.24,29900,74.85,0.27875,851281,4321063.1418
2019,"DEC0","Saarland",4.99370024137429,35860.92,NA,96.6,134,95.31,385.5,NA,4971,2365.96,NA,9.9,27.8,52.1804780277478,1.05621566092898,19353.75,25000,73.55,0.234,439152,2192993.4484
2019,"DED2","Dresden",5.7854335404189,52167.21,NA,102.1,NA,804.71,205.6,NA,9020,1988.8,NA,6.7,22.8,53.2845104181056,1.03554302476688,30724.19,22300,79.4,0.29675,698584,4041611.3044
2019,"DED4","Chemnitz",5.75820267220795,42316.09,NA,103.1,NA,599.74,219.9,NA,3056,1435.23,NA,7.8,24.9,54.9558340466554,1.05141023940747,27495.15,20800,78.85,0.2415,608523,3503998.7647
2019,"DED5","Leipzig",5.15069574989083,35923.62,NA,104,NA,276.14,268.4,NA,1573,3438.16,NA,7.1,31.4,51.0591369673549,1.05055472361938,19848.79,23400,77.35,0.3205,414507,2134999.4432
2019,"DEE0","Sachsen-Anhalt",5.2440080943674,64743.64,NA,103.7,119,NA,108.7,NA,10341,2368.3,NA,9.5,29.3,53.9130031590099,1.0484961311709,40798.29,20800,75.7,0.217891054472764,824734,4324911.7717
2019,"DEF0","Schleswig-Holstein",4.65374990867546,99650.81,NA,102.4,83,3044.86,188.2,NA,8906,2170,NA,7.4,27.5,51.7400228562756,1.05945600233744,63162.57,28500,77.35,0.230192451887028,1205043,5607968.7512
2019,"DEG0","Thüringen",5.41893000574488,63841.81,NA,102.5,101,939.87,132.4,NA,10315,1426.82,NA,16.4,37.2,53.5268033697362,1.03409509087513,40198.92,21800,77.55,0.268182954261435,892969,4838936.5083
2019,"DK01","Hovedstaden",4.75054782961658,126164.55,297.59,105.3,NA,79,756,14.1,-3564,6518.45,96.37,2,18.9,47.2597617048608,1.06017765106438,31990.05,37000,76.85,0.483,780968,3710025.8374
2019,"DK02","Sjælland",5.28170564078959,31036.51,275.73,103.1,NA,152,118.3,9.3,3045,3960.5,94.3,2.2,22,51.6084372957416,1.02208941743188,13646.28,30300,73.65,0.2768192048012,360641,1904799.604
