"regionname.x","nuts2.x","year.x","total_votes","total_weighted_score","weighted_avg_left_right"
"Lorraine","FRF3",2019,515885,3466862.2448,6.72022300473943
"Lubelskie","PL81",2019,458831,3433023.0583,7.48210791838389
"Lubuskie","PL43",2019,139104,970737.1094,6.97849888860133
"Luxembourg","LU00",2019,1049678,5682220.1804,5.41329834520682
"Länsi-Suomi","FI19",2019,373204,1968834.646,5.27549181144897
"Lüneburg","DE93",2019,759022,3695300.32,4.86850225685158
"Malta","MT00",2019,239878,1158297.5408,4.82869433962264
"Marche","ITI3",2019,548682,3413431.6042,6.22114741179773
"Martinique","FRY2",2019,23011,125477.4222,5.45293217157012
"Mayotte","FRY5",2019,14435,110728.9218,7.67086399722896
"Mazowiecki regionalny","PL92",2019,512757,3814997.347,7.44016629124517
"Małopolskie","PL21",2019,786424,5774629.2059,7.34289544304345
"Mecklenburg-Vorpommern","DE80",2019,650868,3294341.6868,5.06145898523203
"Mellersta Norrland","SE32",2019,140746,734730.2958,5.22025702897418
"Merseyside","UKD7",2019,305341,1690569.2737,5.53665991039526
"Midi-Pyrénées","FRJ2",2019,746228,4523230.0806,6.06145853626506
"Midlands North West","",2019,400802,2066310.9017,5.15544059585531
"Midtjylland","DK04",2019,587467,3106862.0479,5.28857288647703
"Mittelfranken","DE25",2019,655021,3624377.612,5.5332235332913
"Molise","ITF2",2019,91196,591579.6876,6.48690389490767
"Moravskoslezsko","CZ08",2019,199668,1206261.4093,6.04133566370174
"Münster","DEA3",2019,1125871,5466092.6891,4.85499021566414
"Niederbayern","DE22",2019,436501,2837266.1546,6.50002211816239
"Niederösterreich","AT12",2019,840916,4813855.5067,5.72453789284542
"Noord-Brabant","NL41",2019,561703,2959931.2876,5.26956645700664
"Noord-Holland","NL32",2019,713937,3521225.6452,4.93212376610261
"Nord-Est","RO21",2019,1118153,5788490.5788,5.17683231078394
"Nord-Pas de Calais","FRE1",2019,961275,6544698.3564,6.80835177904346
"Nord-Vest","RO11",2019,894000,4875030.8407,5.45305463165548
"Nordjylland","DK05",2019,250685,1370235.7228,5.46596614396553
"Norra Mellansverige","SE31",2019,315669,1760276.1148,5.57633506869537
"Norte","PT11",2019,1020099,4702769.6617,4.61011103990887
"North Eastern Scotland","UKM5",2019,81645,506725.649,6.20645047461571
"North Yorkshire","UKE2",2019,210781,1294477.7645,6.1413398954365
"Northumberland and Tyne and Wear","UKC2",2019,317972,1960829.8865,6.16667469619967
"Nyugat-Dunántúl","HU22",2019,319644,2000493.0928,6.25850350014391
"Oberbayern","DE21",2019,1720887,9637886.7841,5.60053436634712
"Oberfranken","DE24",2019,409760,2428611.4912,5.92691207340882
"Oberpfalz","DE23",2019,413084,2544988.5606,6.16094683066882
"Oberösterreich","AT31",2019,666119,3693158.4506,5.54429231203434
"Opolskie","PL52",2019,129953,933820.4675,7.18583232014652
"Outer London - East and North East","UKI5",2019,403483,2327276.7372,5.76796726801377
"Outer London - South","UKI6",2019,328737,1861017.7541,5.66111436832483
"Outer London - West and North West","UKI7",2019,481276,2585619.4941,5.37242558137119
"Overijssel","NL21",2019,262532,1395142.1372,5.31417936556306
"Pays de la Loire","FRG0",2019,870627,5224367.4842,6.00069545764145
"País Vasco","ES21",2019,669933,2394164.6107,3.57373738970912
"Pest","HU12",2019,379646,2342392.1152,6.16993756078031
"Picardie","FRE2",2019,457677,3229733.432,7.0567964568899
"Piemonte","ITC1",2019,1666790,10288648.1822,6.17273212714259
"Podkarpackie","PL82",2019,508660,3815859.8663,7.50178875142531
"Podlaskie","PL84",2019,222018,1642398.5681,7.39759194344603
"Pohjois- ja Itä-Suomi","FI1D",2019,335774,1763734.62,5.2527432737496
"Poitou-Charentes","FRI3",2019,441997,2773276.365,6.27442350287445
"Pomorskie","PL63",2019,336602,2367956.878,7.03488653662189
"Praha","CZ01",2019,301749,1983522.6666,6.57341918813318
"Principado de Asturias","ES12",2019,418776,1956959.2508,4.67304537700346
"Prov. Antwerpen","BE21",2019,1046969,6484343.8088,6.193443940365
"Prov. Brabant Wallon","BE31",2019,199673,830432.0939,4.15896036970447
"Prov. Hainaut","BE32",2019,597859,1943964.3692,3.25154320533771
"Prov. Limburg (BE)","BE22",2019,477816,3105702.2696,6.49978709293954
"Prov. Liège","BE33",2019,478805,1628937.7282,3.40209005377972
"Prov. Luxembourg (BE)","BE34",2019,112815,427362.8922,3.78817437574791
"Prov. Namur","BE35",2019,228621,810988.6207,3.54730589359683
"Prov. Oost-Vlaanderen","BE23",2019,888822,5680759.1156,6.39133495300521
"Prov. Vlaams-Brabant","BE24",2019,603677,3676782.7008,6.09064566117311
"Prov. West-Vlaanderen","BE25",2019,694322,4558876.5134,6.56593988581667
"Provence-Alpes-Côte d’Azur","FRL0",2019,1170748,7908177.7076,6.75480778749996
"Provincia Autonoma di Bolzano/Bozen","ITH1",2019,66497,438354.1958,6.59208980555514
"Provincia Autonoma di Trento","ITH2",2019,184853,1116666.2712,6.04083391235198
"Puglia","ITF4",2019,988005,6358202.3496,6.43539491156421
"Região Autónoma da Madeira","PT30",2019,82506,425186.5817,5.15340195500933
"Região Autónoma dos Açores","PT20",2019,34992,160591.0785,4.58936552640604
"Región de Murcia","ES62",2019,526421,2965063.485,5.63249468581231
"Rheinhessen-Pfalz","DEB3",2019,851281,4321063.1418,5.07595393506962
"Rhône-Alpes","FRK2",2019,1412707,8593149.9824,6.08275458562887
"Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","BE10",2019,397299,1478005.1931,3.72013318206187
"Saarland","DEC0",2019,439152,2192993.4484,4.99370024137429
"Sachsen-Anhalt","DEE0",2019,824734,4324911.7717,5.2440080943674
"Salzburg","AT32",2019,221882,1248316.1759,5.62603625305342
"Sardegna","ITG2",2019,323826,1913932.4183,5.91037291106953
"Schleswig-Holstein","DEF0",2019,1205043,5607968.7512,4.65374990867546
"Schwaben","DE27",2019,657581,3883638.1497,5.90594641527051
"Severovýchod","CZ05",2019,300144,1887157.5918,6.2875073024948
